,フレーム数,両眼.注視Z座標[mm]
0,231,6.132185388228656
1,724,1.6303771877623887
2,2006,1.1829377786557806
3,2295,4.292969404007057
4,2858,3.7458795325142344
5,3464,4.1285293765507785
6,3792,2.478775484910454
7,4286,3.620984328379827
8,4374,4.353959490760898
9,4660,2.992014313796477
10,5313,1.518688217864937
11,5776,1.1514144550873522
12,6014,1.0476996706032236
13,6531,2.993295019157088
14,6833,1.5977171816908
15,7160,4.7892720306513406
16,9793,2.9210555526345003
17,10582,1.1482888773294475
18,10959,5.217137252446838
19,11280,3.3649526719406695
20,11572,2.5611473940325267
