,Unnamed: 0.1,frame,フレーム数,diopter,Unnamed: 0,filename,param1,param1_value,param2,param2_value,param3,param3_value,status,image_name,times,figure,contrast,gamma,sharpness,brightness,equalization,day,time,button,timeFromStart,timeFromDisplay,num,timeFromDisplay_std
16,0,300.0,162.0,2.1589437485949805,0.0,pictures\transformed\roomBright_figureDark\Q.JPG,brightness,19.28452195342186,contrast,1.069421260212048,sharpness,0.4321254350243235,2.0,1_Q_brightness19.0_contrast1.1_sharpness0.43.jpg,1.0,Q,1.1,0.0,0.43,19.0,0.0,2023-08-26,17:38:54.028749,f,2.1483700275421143,2.0477755069732666,10,4.303658989899492
17,1,1500.0,1723.0,2.3102604406242007,4.0,pictures\transformed\roomBright_figureDark\T.JPG,contrast,1.168636020134301,sharpness,0.7366664890830545,equalization,23.4285650009451,2.0,5_T_contrast1.2_sharpness0.74_equalization23.0.jpg,5.0,T,1.2,0.0,0.74,0.0,23.0,2023-08-26,17:39:05.804448,f,13.9085214138031,1.297435283660889,10,-0.07139914767201903
18,2,3000.0,3139.0,2.410774950834943,9.0,pictures\transformed\roomBright_figureDark\7.JPG,contrast,0.96929532419543,equalization,4.656845029323566,None,None,0.0,10_7_contrast0.97_equalization4.7.jpg,10.0,7,0.97,0.0,0.0,0.0,4.7,2023-08-26,17:39:18.491406,t,26.59532928466797,1.4772999286651611,10,0.9773494790689287
19,3,4200.0,4346.0,3.3602151601654606,13.0,pictures\transformed\roomBright_figureDark\3.JPG,brightness,8.417065154058854,sharpness,0.7786290006574709,None,None,0.0,14_3_brightness8.4_sharpness0.78.jpg,14.0,3,0.0,0.0,0.78,8.4,0.0,2023-08-26,17:39:28.302638,t,36.42225885391235,1.3188328742980957,10,0.053365192734082335
20,4,5700.0,5917.0,3.478026399921353,18.0,pictures\transformed\roomBright_figureDark\T.JPG,brightness,14.67564378732951,gamma,0.802495255594804,None,None,1.0,19_T_brightness15.0_gamma0.8.jpg,19.0,T,0.0,0.8,0.0,15.0,0.0,2023-08-26,17:39:40.963233,f,49.08285331726074,1.4799244403839111,10,0.9926523923281699
21,5,6600.0,6827.0,2.3316730643168704,21.0,pictures\transformed\roomBright_figureDark\T.JPG,gamma,0.6407372266570427,equalization,11.67527389347699,None,None,1.0,22_T_gamma0.64_equalization12.0.jpg,22.0,T,0.0,0.64,0.0,0.0,12.0,2023-08-26,17:39:48.216997,f,56.3366174697876,1.2295827865600586,10,-0.4670311694834744
22,6,8100.0,8271.0,3.4366900412978856,26.0,pictures\transformed\roomBright_figureDark\2.JPG,gamma,0.7645978047279711,sharpness,0.378117958095638,None,None,2.0,27_2_gamma0.76_sharpness0.38.jpg,27.0,2,0.0,0.76,0.38,0.0,0.0,2023-08-26,17:40:00.753591,f,68.87221074104309,1.2731192111968994,10,-0.21318047219934133
23,7,11100.0,11259.0,2.953655702450593,36.0,pictures\transformed\roomBright_figureDark\0.JPG,contrast,1.085028749933605,sharpness,0.3042228044042588,brightness,12.15121083927408,0.0,37_0_contrast1.1_sharpness0.3_brightness12.0.jpg,37.0,0,1.1,0.0,0.3,12.0,0.0,2023-08-26,17:40:25.681897,t,93.79966354370116,1.1785099506378174,10,-0.7648249161975325
24,8,12600.0,12772.0,3.921122481135465,41.0,pictures\transformed\roomBright_figureDark\I.JPG,brightness,26.7516585695766,gamma,1.019671870393746,None,None,2.0,42_I_brightness27.0_gamma1.0.jpg,42.0,I,0.0,1.0,0.0,27.0,0.0,2023-08-26,17:40:38.362787,f,106.48240756988524,1.374767541885376,10,0.3795071414087551
25,0,900.0,1026.0,2.4724559296872566,2.0,pictures\transformed\roomBright_figureDark\7.JPG,sharpness,0.7967628743120091,brightness,28.44571999626007,contrast,0.900373863102708,0.0,3_7_sharpness0.8_brightness28.0_contrast0.9.jpg,3.0,7,0.9,0.0,0.8,28.0,0.0,2023-08-26,17:41:43.455244,t,8.938057661056519,1.338630199432373,10,0.16879875972121453
26,1,1200.0,1332.0,3.0354155236575147,3.0,pictures\transformed\roomBright_figureDark\P.JPG,sharpness,0.1266179900991141,gamma,0.5617080713073137,None,None,1.0,4_P_sharpness0.13_gamma0.56.jpg,4.0,P,0.0,0.56,0.13,0.0,0.0,2023-08-26,17:41:45.843446,f,11.32625961303711,1.2221803665161133,10,-0.5101929473607383
27,2,2100.0,2212.0,2.725216579247677,6.0,pictures\transformed\roomBright_figureDark\9.JPG,sharpness,0.7015210690082017,contrast,1.054515268200338,equalization,12.11760784078135,0.0,7_9_sharpness0.7_contrast1.1_equalization12.0.jpg,7.0,9,1.1,0.0,0.7,0.0,12.0,2023-08-26,17:41:53.129827,t,18.612640857696533,1.0066297054290771,10,-1.7670183774098907
28,3,3600.0,3751.0,3.3466520426777366,11.0,pictures\transformed\roomBright_figureDark\3.JPG,sharpness,0.7938318015676875,gamma,1.01348022351156,None,None,2.0,12_3_sharpness0.79_gamma1.0.jpg,12.0,3,0.0,1.0,0.79,0.0,0.0,2023-08-26,17:42:05.775955,f,31.25876832008361,1.1538286209106443,10,-0.908735970295454
29,4,3900.0,4022.0,3.1176228848165755,12.0,pictures\transformed\roomBright_figureDark\P.JPG,gamma,0.743330383820055,contrast,0.9080350096398532,None,None,1.0,13_P_gamma0.74_contrast0.91.jpg,13.0,P,0.91,0.74,0.0,0.0,0.0,2023-08-26,17:42:08.328732,f,33.8115451335907,1.148288011550903,10,-0.9410419660468627
30,5,4800.0,4946.0,3.503181805648643,15.0,pictures\transformed\roomBright_figureDark\P.JPG,contrast,0.8365600927944891,sharpness,0.6973515472991552,brightness,28.9894298296228,1.0,16_P_contrast0.84_sharpness0.7_brightness29.0.jpg,16.0,P,0.84,0.0,0.7,29.0,0.0,2023-08-26,17:42:15.781734,f,41.2645480632782,1.1602704524993896,10,-0.8711751587628004
