番号,フレームカウンタ,時刻カウンタ,CUEシグナル,CUEスイッチ,リセットスイッチ,TTL入力,両眼.タイムアウト,両眼.映像X座標[pixel],両眼.映像Y座標[pixel],両眼.注視X座標[mm],両眼.注視Y座標[mm],両眼.注視Z座標[mm],左眼.タイムアウト,左眼.適用検出方式,左眼.映像X座標[pixel],左眼.映像Y座標[pixel],左眼.注視X座標[mm],左眼.注視Y座標[mm],左眼.注視Z座標[mm],左眼.視軸 vx,左眼.視軸 vy,左眼.視軸 vz,左眼.眼球X座標[mm],左眼.眼球Y座標[mm],左眼.眼球Z座標[mm],左眼.瞳孔径[mm],左眼.瞳孔中心X座標[pixel],左眼.瞳孔中心Y座標[pixel],左眼.瞳孔楕円長軸長[pixel],左眼.瞳孔楕円短軸長[pixel],左眼.瞳孔楕円回転角[deg],左眼.瞳孔二値化閾値,左眼.角膜反射像X座標[pixel],左眼.角膜反射像Y座標[pixel],左眼.眼球画像X座標[pixel],左眼.眼球画像Y座標[pixel],左眼.眼球画像幅[pixel],左眼.眼球画像高さ[pixel],左眼.眼球画像不透明度,右眼.タイムアウト,右眼.適用検出方式,右眼.映像X座標[pixel],右眼.映像Y座標[pixel],右眼.注視X座標[mm],右眼.注視Y座標[mm],右眼.注視Z座標[mm],右眼.視軸 vx,右眼.視軸 vy,右眼.視軸 vz,右眼.眼球X座標[mm],右眼.眼球Y座標[mm],右眼.眼球Z座標[mm],右眼.瞳孔径[mm],右眼.瞳孔中心X座標[pixel],右眼.瞳孔中心Y座標[pixel],右眼.瞳孔楕円長軸長[pixel],右眼.瞳孔楕円短軸長[pixel],右眼.瞳孔楕円回転角[deg],右眼.瞳孔二値化閾値,右眼.角膜反射像X座標[pixel],右眼.角膜反射像Y座標[pixel],右眼.眼球画像X座標[pixel],右眼.眼球画像Y座標[pixel],右眼.眼球画像幅[pixel],右眼.眼球画像高さ[pixel],右眼.眼球画像不透明度
11208,403331,303578705,,,,,,578.729,459.700,-9855.807,2075.749,17004.408,,Both,425.239,560.560,-365.821,-14.065,450.000,-0.542088,0.065143,0.837793,-33.500,-54.000,-63.600,3.705,231.531,82.359,29.344,24.734,134.516,Auto,197.859,104.469,1590,10,320,240,0.000,,Pupil,566.600,626.469,-269.119,-59.152,450.000,-0.507626,-0.008643,0.861534,33.500,-54.000,-63.600,3.357,206.047,105.859,26.594,18.781,157.250,Auto,,,10,10,320,240,0.000
11209,403332,303579455,,,,,,578.605,459.100,-9856.908,2090.801,17000.803,,Both,424.304,560.350,-366.461,-13.921,450.000,-0.542816,0.065340,0.837306,-33.500,-54.000,-63.600,3.669,231.609,82.359,29.063,24.641,134.063,Auto,197.906,104.484,1590,10,320,240,1.000,,Pupil,566.502,624.725,-269.186,-57.959,450.000,-0.507717,-0.006640,0.861498,33.500,-54.000,-63.600,3.328,206.063,105.734,26.359,18.813,156.609,Auto,,,10,10,320,240,1.000
11210,403333,303580205,,,,,,578.090,458.266,-9866.094,2111.483,16993.679,,Both,422.920,559.835,-367.408,-13.569,450.000,-0.543883,0.065856,0.836573,-33.500,-54.000,-63.600,3.722,231.703,82.375,29.484,25.109,134.063,Auto,197.953,104.516,1590,10,320,240,0.000,,Pupil,565.972,621.391,-269.548,-55.678,450.000,-0.508177,-0.002814,0.861248,33.500,-54.000,-63.600,3.210,206.094,105.500,25.422,18.469,154.984,Auto,,,10,10,320,240,0.000
11211,403334,303580955,,,,,,578.678,456.491,-9845.925,2156.232,16985.077,,Both,421.006,559.397,-368.717,-13.269,450.000,-0.545364,0.066265,0.835576,-33.500,-54.000,-63.600,3.728,231.797,82.391,29.531,25.109,133.094,Auto,197.953,104.547,1590,10,320,240,1.000,,Pupil,566.399,623.944,-269.256,-57.425,450.000,-0.507807,-0.005744,0.861451,33.500,-54.000,-63.600,3.312,206.063,105.688,26.234,18.828,156.469,Auto,,,10,10,320,240,1.000
11212,403335,303581705,,,,,,577.963,456.023,-9858.591,2167.062,16975.126,,Both,419.856,559.010,-369.503,-13.004,450.000,-0.546247,0.066648,0.834969,-33.500,-54.000,-63.600,3.734,231.906,82.391,29.578,25.094,134.563,Auto,198.016,104.578,1590,10,320,240,0.000,,Pupil,565.461,622.925,-269.898,-56.727,450.000,-0.508608,-0.004572,0.860986,33.500,-54.000,-63.600,3.284,206.125,105.609,26.016,18.641,156.781,Auto,,,10,10,320,240,0.000
11213,403336,303582455,,,,,,577.100,456.179,-9874.876,2161.717,16964.840,,Both,418.436,559.441,-370.475,-13.299,450.000,-0.547371,0.066113,0.834275,-33.500,-54.000,-63.600,3.693,232.016,82.453,29.250,25.031,136.750,Auto,198.078,104.609,1590,10,320,240,1.000,,Pupil,564.425,621.438,-270.607,-55.711,450.000,-0.509492,-0.002866,0.860471,33.500,-54.000,-63.600,3.227,206.203,105.500,25.563,18.703,154.953,Auto,,,10,10,320,240,1.000
11214,403337,303583205,,,,,,576.907,456.805,-9878.231,2145.214,16962.055,,Both,418.756,559.842,-370.256,-13.574,450.000,-0.547138,0.065682,0.834461,-33.500,-54.000,-63.600,3.706,232.094,82.531,29.359,24.734,134.188,Auto,198.172,104.641,1590,10,320,240,0.000,,Pupil,564.005,624.350,-270.893,-57.702,450.000,-0.509840,-0.006201,0.860247,33.500,-54.000,-63.600,3.341,206.234,105.719,26.469,19.063,157.109,Auto,,,10,10,320,240,0.000
11215,403338,303583955,,,,,,575.712,456.876,-9900.384,2141.511,16947.217,,Both,418.493,559.153,-370.436,-13.102,450.000,-0.547315,0.066434,0.834286,-33.500,-54.000,-63.600,3.690,232.125,82.516,29.219,24.844,134.547,Auto,198.188,104.688,1590,10,320,240,1.000,,Pupil,562.150,627.456,-272.163,-59.827,450.000,-0.511396,-0.009749,0.859290,33.500,-54.000,-63.600,3.290,206.359,105.953,26.063,18.469,157.844,Auto,,,10,10,320,240,1.000
11216,403339,303584705,,,,,,575.804,458.386,-9909.355,2105.031,16966.636,,Both,420.825,559.538,-368.841,-13.366,450.000,-0.545512,0.066101,0.835492,-33.500,-54.000,-63.600,3.689,232.094,82.563,29.219,24.953,134.703,Auto,198.250,104.719,1590,10,320,240,0.000,,Pupil,562.890,621.719,-271.656,-55.903,450.000,-0.510791,-0.003185,0.859699,33.500,-54.000,-63.600,3.224,206.313,105.531,25.531,18.781,157.609,Auto,,,10,10,320,240,0.000
11217,403340,303585455,,,,,,574.587,457.156,-9928.923,2134.224,16946.477,,Both,418.847,558.374,-370.194,-12.569,450.000,-0.547008,0.067310,0.834417,-33.500,-54.000,-63.600,3.687,232.234,82.500,29.203,25.016,135.250,Auto,198.297,104.734,1590,10,320,240,1.000,,Pupil,561.113,621.824,-272.872,-55.974,450.000,-0.512293,-0.003301,0.858805,33.500,-54.000,-63.600,3.287,206.438,105.547,26.031,18.891,157.266,Auto,,,10,10,320,240,1.000
