condition,metric,zcol,image_key,F,p,df1,df2,eta_sq,n_total,n_original,n_brightonly,n_model
bright,diopter,z_diopter,sun_empty,0.10116048635960391,0.9038618897928966,2.0,125.0,0.0016159522534992948,128,39,27,62
bright,diopter,z_diopter,sun_busy,0.675214350557631,0.5109705466954981,2.0,120.0,0.011128338940123172,123,41,48,34
bright,diopter,z_diopter,rain_empty,1.8123419338545605,0.1676392761766492,2.0,122.0,0.02885327752566643,125,38,35,52
bright,diopter,z_diopter,rain_busy,0.6625320585511303,0.5173595625615921,2.0,124.0,0.010573017667592305,127,40,48,39
bright,diopter,z_diopter,ALL,0.40212862181508746,0.6691108394017219,2.0,500.0,0.001605931323461018,503,158,158,187
