,day,time,button,timeFromStart,timeFromDisplay,image,status,times,figure,contrast,gamma,sharpness,brightness,equalization,frame,フレーム数,diopter,Unnamed: 0,filename,param1,param1_value,param2,param2_value,param3,param3_value,status,image_name,times,figure,contrast,gamma,sharpness,brightness,equalization
0,2023-09-02,17:33:01.535094,f,11.224308013916016,1.0829908847808838,5_8_contrast0.93_brightness23.0_gamma0.64.jpg,4,5,8,0.93,0.64,0.0,23.0,0.0,1200,1329,2.1827692036747,3,pictures\transformed\roomBright_figureDark\T.JPG,gamma,1.076340961352424,sharpness,0.7447441586107962,equalization,24.73924133294748,1,4_T_gamma1.1_sharpness0.74_equalization25.0.jpg,4,T,0.0,1.1,0.74,0.0,25.0
1,2023-09-02,17:33:06.756617,t,16.44367742538452,1.251704216003418,7_T_contrast0.92_gamma0.87_equalization27.0.jpg,4,7,T,0.92,0.87,0.0,0.0,27.0,1800,1973,2.2371468259111347,5,pictures\transformed\roomBright_figureDark\3.JPG,contrast,1.113928389043984,sharpness,0.5954926054739823,equalization,21.66070525851121,0,6_3_contrast1.1_sharpness0.6_equalization22.0.jpg,6,3,1.1,0.0,0.6,0.0,22.0
2,2023-09-02,17:33:41.576852,f,51.26606583595276,1.1918537616729736,21_I_brightness5.7_gamma0.8_contrast1.2.jpg,4,21,I,1.2,0.8,0.0,5.7,0.0,6000,6166,2.158367527319727,19,pictures\transformed\roomBright_figureDark\T.JPG,gamma,0.9850762632090488,contrast,0.992327492674742,equalization,27.50209589629219,2,20_T_gamma0.99_contrast0.99_equalization28.0.jpg,20,T,0.99,0.99,0.0,0.0,28.0
3,2023-09-02,17:33:51.593306,f,61.28252005577088,1.0962204933166504,25_T_gamma0.82_sharpness0.44_equalization16.0.jpg,4,25,T,0.0,0.82,0.44,0.0,16.0,7200,7362,2.286350069683921,23,pictures\transformed\roomBright_figureDark\S.JPG,sharpness,0.400280028497911,brightness,29.70859706176438,contrast,1.001345701921811,1,24_S_sharpness0.4_brightness30.0_contrast1.0.jpg,24,S,1.0,0.0,0.4,30.0,0.0
4,2023-09-02,17:34:01.691864,t,71.36556649208069,1.255814552307129,29_Q_contrast1.0_brightness7.3_sharpness0.79.jpg,4,29,Q,1.0,0.0,0.79,7.3,0.0,8400,8529,2.403552761131433,27,pictures\transformed\roomBright_figureDark\2.JPG,gamma,0.9785172783806908,sharpness,0.4915496244156573,equalization,25.48480244694115,0,28_2_gamma0.98_sharpness0.49_equalization25.0.jpg,28,2,0.0,0.98,0.49,0.0,25.0
5,2023-09-02,17:34:06.723628,t,76.41284155845642,1.284977912902832,31_T_sharpness0.82_gamma0.64_equalization26.0.jpg,1,31,T,0.0,0.64,0.82,0.0,26.0,9000,9115,2.110490437242857,29,pictures\transformed\roomBright_figureDark\3.JPG,contrast,1.011974135591211,gamma,0.523623374522539,sharpness,0.3359864538692044,0,30_3_contrast1.0_gamma0.52_sharpness0.34.jpg,30,3,1.0,0.52,0.34,0.0,0.0
6,2023-09-02,17:34:08.980583,f,78.66979670524597,0.9868941307067872,32_Q_sharpness0.51_contrast0.8_equalization4.6.jpg,4,32,Q,0.8,0.0,0.51,0.0,4.6,9300,9448,2.058337109739867,30,pictures\transformed\roomBright_figureDark\T.JPG,sharpness,0.8184513204064037,gamma,0.6381765805739366,equalization,25.97600900705566,1,31_T_sharpness0.82_gamma0.64_equalization26.0.jpg,31,T,0.0,0.64,0.82,0.0,26.0
7,2023-09-02,17:34:14.023535,f,83.71274924278259,1.0585174560546875,34_J_sharpness0.17_brightness26.0_contrast1.2.jpg,4,34,J,1.2,0.0,0.17,26.0,0.0,9900,9999,2.3888492818762543,32,pictures\transformed\roomBright_figureDark\S.JPG,sharpness,0.4323145128816633,gamma,0.5608164529373144,equalization,8.495384445711263,2,33_S_sharpness0.43_gamma0.56_equalization8.5.jpg,33,S,0.0,0.56,0.43,0.0,8.5
8,2023-09-02,17:34:32.920508,f,102.60972142219543,0.0156943798065185,42_S_sharpness0.13_contrast0.91_gamma0.91.jpg,4,42,S,0.91,0.91,0.13,0.0,0.0,12000,12126,2.5802556451860186,39,pictures\transformed\roomBright_figureDark\I.JPG,contrast,1.031202685301277,sharpness,0.4842410321798282,brightness,27.62190960355707,1,40_I_contrast1.0_sharpness0.48_brightness28.0.jpg,40,I,1.0,0.0,0.48,28.0,0.0
9,2023-09-02,17:34:34.376504,f,104.06571745872498,1.4716904163360596,42_S_sharpness0.13_contrast0.91_gamma0.91.jpg,4,42,S,0.91,0.91,0.13,0.0,0.0,12300,12440,2.2281843736637303,40,pictures\transformed\roomBright_figureDark\T.JPG,gamma,0.5518084266817984,sharpness,0.4342056275593144,equalization,21.42518227573268,1,41_T_gamma0.55_sharpness0.43_equalization21.0.jpg,41,T,0.0,0.55,0.43,0.0,21.0
