,day,time,button,timeFromStart,timeFromDisplay,image,status,times,figure,contrast,gamma,sharpness,brightness,equalization,frame,フレーム数,diopter,Unnamed: 0,filename,param1,param1_value,param2,param2_value,param3,param3_value,status,image_name,times,figure,contrast,gamma,sharpness,brightness,equalization
0,2023-09-02,17:25:24.758440,t,13.92583417892456,1.2762646675109863,6_9_gamma0.78_sharpness0.17_equalization24.0.jpg,4,6,9,0.0,0.78,0.17,0.0,24.0,1500.0,1621,2.554807745913368,4.0,pictures\transformed\roomBright_figureDark\2.JPG,gamma,1.020174820164723,sharpness,0.7457416493187045,equalization,10.92747710382091,0.0,5_2_gamma1.0_sharpness0.75_equalization11.0.jpg,5.0,2,0.0,1.0,0.75,0.0,11.0
1,2023-09-02,17:25:37.126146,f,26.29353976249695,1.1139249801635742,11_2_sharpness0.13_gamma0.92_equalization8.1.jpg,2,11,2,0.0,0.92,0.13,0.0,8.1,3000.0,3115,2.591616406036194,9.0,pictures\transformed\roomBright_figureDark\S.JPG,contrast,1.101999562033987,brightness,9.037066284827556,sharpness,0.8776856973268835,1.0,10_S_contrast1.1_brightness9.0_sharpness0.88.jpg,10.0,S,1.1,0.0,0.88,9.0,0.0
2,2023-09-02,17:25:39.718212,f,28.885606288909912,1.2100305557250977,12_S_contrast1.1_brightness0.75_sharpness0.13.jpg,4,12,S,1.1,0.0,0.13,0.75,0.0,3300.0,3437,2.449263616866904,10.0,pictures\transformed\roomBright_figureDark\2.JPG,sharpness,0.1317788949208175,gamma,0.9215077569695416,equalization,8.145086998313651,2.0,11_2_sharpness0.13_gamma0.92_equalization8.1.jpg,11.0,2,0.0,0.92,0.13,0.0,8.1
3,2023-09-02,17:25:44.903524,t,34.07091784477234,1.444584608078003,14_Q_contrast0.96_gamma0.84_brightness6.7.jpg,4,14,Q,0.96,0.84,0.0,6.7,0.0,3900.0,4029,2.534727820770421,12.0,pictures\transformed\roomBright_figureDark\3.JPG,contrast,1.087370363413541,sharpness,0.883380656559595,gamma,0.623501001570718,0.0,13_3_contrast1.1_sharpness0.88_gamma0.62.jpg,13.0,3,1.1,0.62,0.88,0.0,0.0
4,2023-09-02,17:26:12.355501,f,61.50721549987793,1.3337790966033936,25_I_gamma0.57_sharpness0.3_equalization30.0.jpg,4,25,I,0.0,0.57,0.3,0.0,30.0,7200.0,7334,2.813651143339609,23.0,pictures\transformed\roomBright_figureDark\7.JPG,brightness,5.625360388165051,sharpness,0.7223304381338805,contrast,0.8335975097851664,2.0,24_7_brightness5.6_sharpness0.72_contrast0.83.jpg,24.0,7,0.83,0.0,0.72,5.6,0.0
5,2023-09-02,17:26:17.059730,f,66.22712469100952,1.0522925853729248,27_8_brightness22.0_sharpness0.89_gamma0.99.jpg,4,27,8,0.0,0.99,0.89,22.0,0.0,7800.0,7909,2.435291850378589,25.0,pictures\transformed\roomBright_figureDark\S.JPG,sharpness,0.1792474901802549,contrast,1.010738722088169,equalization,18.92747866059367,2.0,26_S_sharpness0.18_contrast1.0_equalization19.0.jpg,26.0,S,1.0,0.0,0.18,0.0,19.0
6,2023-09-02,17:26:22.014632,t,71.18202638626099,1.0046544075012207,29_2_gamma0.91_sharpness0.4_equalization15.0.jpg,4,29,2,0.0,0.91,0.4,0.0,15.0,8400.0,8508,2.7736517090701978,27.0,pictures\transformed\roomBright_figureDark\1.JPG,contrast,0.9061840018442334,sharpness,0.7509703354168672,equalization,21.93841087189167,0.0,28_1_contrast0.91_sharpness0.75_equalization22.0.jpg,28.0,1,0.91,0.0,0.75,0.0,22.0
7,2023-09-02,17:26:59.594127,f,108.74600625038148,1.0985281467437744,44_8_sharpness0.24_contrast0.91_brightness0.78.jpg,4,44,8,0.91,0.0,0.24,0.78,0.0,12900.0,13009,2.714161330276427,42.0,pictures\transformed\roomBright_figureDark\E.JPG,sharpness,0.3564154742398392,gamma,0.8869701369476944,brightness,5.034792221227551,1.0,43_E_sharpness0.36_gamma0.89_brightness5.0.jpg,43.0,E,0.0,0.89,0.36,5.0,0.0
8,2023-09-02,17:27:04.720099,f,113.88682723045348,1.2229502201080322,46_B_brightness5.1_sharpness0.85_gamma0.82.jpg,4,46,B,0.0,0.82,0.85,5.1,0.0,13500.0,13625,2.838640781585348,44.0,pictures\transformed\roomBright_figureDark\T.JPG,contrast,0.8269766548206205,sharpness,0.986225599135274,gamma,0.7870685381686324,2.0,45_T_contrast0.83_sharpness0.99_gamma0.79.jpg,45.0,T,0.83,0.79,0.99,0.0,0.0
9,2023-09-02,17:27:10.207194,f,119.37458777427672,1.7713651657104492,48_7_brightness22.0_sharpness0.28_gamma0.97.jpg,4,48,7,0.0,0.97,0.28,22.0,0.0,14100.0,14354,3.307660534333837,46.0,pictures\transformed\roomBright_figureDark\3.JPG,gamma,0.5642687279782165,contrast,1.184259035707252,equalization,19.35797271148748,0.0,47_3_gamma0.56_contrast1.2_equalization19.0.jpg,47.0,3,1.2,0.56,0.0,0.0,19.0
