trial_id,folder_name,file_name,trial,front,status,back,process,filename,param1,param1_value,param2,param2_value,param3,param3_value,image_name,final_status,Display_Timestamp,Display_Epoch,Elapsed_From_First_Display_s,Frame_60fps,Frame_120fps,Key_Timestamp,Reaction_Time,Front_Char,Back_Char,User_Key,Accuracy,Result_Type,Judgment
S04_2_15,S04,2,15,G,filler,1,model,G:\pictures_verify\transformed_verify\roomBright_figureDark\rain_empty\1_day_rain_empty.jpg,brightness,22.602,contrast,1.158,gamma,1.045,M_2_28_G_filler_1_day_rain_empty_MODEL_brightness22.602_contrast1.158_gamma1.045.jpg,Ignore,2026-01-09T11:17:11.570,1767925031.5701773,53.84069204330444,3230,6461,,,G,1,None,1,Correct Rejection,正解(スルー成功)
S04_2_16,S04,2,16,8,match,8,original,G:\pictures_verify\transformed_verify\roomBright_figureDark\sun_busy\8_day_sun_busy.jpg,,,,,,,M_2_19_8_match_8_day_sun_busy_ORIG.jpg,Match,2026-01-09T11:17:15.417,1767925035.417082,57.687596797943115,3461,6923,2026-01-09T11:17:17.130,1.7136213779449463,8,8,t,1,Hit,正解(一致)
S04_2_17,S04,2,17,B,filler,4,original,G:\pictures_verify\transformed_verify\roomBright_figureDark\rain_empty\4_day_rain_empty.jpg,,,,,,,M_2_21_B_filler_4_day_rain_empty_ORIG.jpg,Ignore,2026-01-09T11:17:19.262,1767925039.262137,61.53265166282654,3692,7384,,,B,4,None,1,Correct Rejection,正解(スルー成功)
S04_2_18,S04,2,18,4,unmatch,1,model,G:\pictures_verify\transformed_verify\roomBright_figureDark\rain_busy\1_day_rain_busy.jpg,brightness,23.168,contrast,1.169,gamma,1.078,M_2_6_4_unmatch_1_day_rain_busy_MODEL_brightness23.168_contrast1.169_gamma1.078.jpg,Mismatch,2026-01-09T11:17:23.109,1767925043.1095526,65.38006734848022,3923,7846,2026-01-09T11:17:24.435,1.3259563446044922,4,1,b,1,Correct Rejection,正解(不一致)
S04_2_19,S04,2,19,L,filler,3,model,G:\pictures_verify\transformed_verify\roomBright_figureDark\sun_busy\3_day_sun_busy.jpg,brightness,25.454,contrast,1.16,gamma,1.064,M_2_18_L_filler_3_day_sun_busy_MODEL_brightness25.454_contrast1.160_gamma1.064.jpg,Ignore,2026-01-09T11:17:26.949,1767925046.949583,69.22009778022766,4153,8306,,,L,3,None,1,Correct Rejection,正解(スルー成功)
S04_2_20,S04,2,20,B,filler,9,original,G:\pictures_verify\transformed_verify\roomBright_figureDark\rain_busy\9_day_rain_busy.jpg,,,,,,,M_2_40_B_filler_9_day_rain_busy_ORIG.jpg,Ignore,2026-01-09T11:17:30.794,1767925050.7948136,73.06532835960388,4384,8768,,,B,9,None,1,Correct Rejection,正解(スルー成功)
S04_2_21,S04,2,21,6,match,6,brightonly,G:\pictures_verify\transformed_verify\roomBright_figureDark\rain_empty\6_day_rain_empty.jpg,brightness,35.62,,,,,M_2_30_6_match_6_day_rain_empty_BRIGHTONLY_brightness35.620.jpg,Match,2026-01-09T11:17:34.673,1767925054.673638,76.94415283203125,4617,9233,2026-01-09T11:17:36.069,1.395862102508545,6,6,t,1,Hit,正解(一致)
S04_2_22,S04,2,22,S,filler,3,model,G:\pictures_verify\transformed_verify\roomBright_figureDark\rain_empty\3_day_rain_empty.jpg,brightness,22.602,contrast,1.158,gamma,1.045,M_2_10_S_filler_3_day_rain_empty_MODEL_brightness22.602_contrast1.158_gamma1.045.jpg,Ignore,2026-01-09T11:17:38.533,1767925058.5335338,80.80404853820801,4848,9696,,,S,3,None,1,Correct Rejection,正解(スルー成功)
S04_2_23,S04,2,23,U,filler,4,model,G:\pictures_verify\transformed_verify\roomBright_figureDark\sun_busy\4_day_sun_busy.jpg,brightness,25.454,contrast,1.16,gamma,1.064,M_2_37_U_filler_4_day_sun_busy_MODEL_brightness25.454_contrast1.160_gamma1.064.jpg,Ignore,2026-01-09T11:17:42.374,1767925062.374188,84.64470267295837,5079,10157,,,U,4,None,1,Correct Rejection,正解(スルー成功)
S04_2_24,S04,2,24,7,unmatch,9,original,G:\pictures_verify\transformed_verify\roomBright_figureDark\sun_busy\9_day_sun_busy.jpg,,,,,,,M_2_12_7_unmatch_9_day_sun_busy_ORIG.jpg,Mismatch,2026-01-09T11:17:46.220,1767925066.2206962,88.4912109375,5309,10619,2026-01-09T11:17:47.684,1.4642865657806396,7,9,b,1,Correct Rejection,正解(不一致)
S04_2_25,S04,2,25,U,filler,6,brightonly,G:\pictures_verify\transformed_verify\roomBright_figureDark\rain_busy\6_day_rain_busy.jpg,brightness,36.09,,,,,M_2_39_U_filler_6_day_rain_busy_BRIGHTONLY_brightness36.090.jpg,Ignore,2026-01-09T11:17:50.067,1767925070.06741,92.33792471885681,5540,11081,,,U,6,None,1,Correct Rejection,正解(スルー成功)
