Unnamed: 0,filename,param1,param1_value,param2,param2_value,param3,param3_value,status,image_name,frame,times,figure,contrast,gamma,sharpness,brightness,equalization
0,pictures\transformed\roomBright_figureDark\2.JPG,gamma,1.068590511305039,contrast,1.108529995755289,brightness,24.4826153139995,2,1_2_gamma1.1_contrast1.1_brightness24.0.jpg,300,1,2,1.1,1.1,0,24.0,0
2,pictures\transformed\roomBright_figureDark\T.JPG,gamma,1.287050172427064,contrast,1.280099339031958,sharpness,0.5921483489165265,2,3_T_gamma1.3_contrast1.3_sharpness0.59.jpg,900,3,T,1.3,1.3,0.59,0,0
13,pictures\transformed\roomBright_figureDark\8.JPG,gamma,0.8840209852436804,contrast,0.8908881095934431,sharpness,1.246732255068512,0,14_8_gamma0.88_contrast0.89_sharpness1.2.jpg,4200,14,8,0.89,0.88,1.2,0,0
15,pictures\transformed\roomBright_figureDark\7.JPG,contrast,0.9787900083689671,sharpness,1.097553586952908,equalization,16.79382417373082,0,16_7_contrast0.98_sharpness1.1_equalization17.0.jpg,4800,16,7,0.98,0,1.1,0,17.0
24,pictures\transformed\roomBright_figureDark\0.JPG,gamma,0.7001487124744665,contrast,0.7228026275521549,sharpness,1.29751694042459,0,25_0_gamma0.7_contrast0.72_sharpness1.3.jpg,7500,25,0,0.72,0.7,1.3,0,0
44,pictures\transformed\roomBright_figureDark\3.JPG,contrast,1.187388035516344,sharpness,0.5734580922213507,equalization,16.42746910530005,0,45_3_contrast1.2_sharpness0.57_equalization16.0.jpg,13500,45,3,1.2,0,0.57,0,16.0
