,Unnamed: 0,image_name,diopter,average_diopter,grid_number
0,495,21_3_sharpness0.69_brightness14.0_contrast0.94.jpg,2.967584270289468,3.1985842990464852,16
1,696,43_7_sharpness0.95_contrast0.97_brightness15.0.jpg,2.412914318023097,3.1985842990464852,16
2,788,27_2_brightness20.0_sharpness0.73_contrast0.94.jpg,3.226334888970953,3.1985842990464852,16
3,818,22_E_contrast1.0_brightness11.0_sharpness0.79.jpg,2.787896830205215,3.1985842990464852,16
4,912,13_1_brightness19.0_sharpness0.8_contrast0.94.jpg,2.328310831647056,3.1985842990464852,16
5,992,38_B_brightness17.0_contrast1.0_sharpness0.68.jpg,2.864827644153841,3.1985842990464852,16
6,1457,8_E_contrast0.94_brightness18.0_sharpness0.67.jpg,3.228177349716606,3.1985842990464852,16
7,1457,8_E_contrast0.94_brightness18.0_sharpness0.67.jpg,3.240348129285131,3.1985842990464852,16
8,1457,8_E_contrast0.94_brightness18.0_sharpness0.67.jpg,3.99510642180081,3.1985842990464852,16
9,1718,8_E_contrast0.94_brightness18.0_sharpness0.67.jpg,3.228177349716606,3.1985842990464852,16
10,1718,8_E_contrast0.94_brightness18.0_sharpness0.67.jpg,3.240348129285131,3.1985842990464852,16
11,1718,8_E_contrast0.94_brightness18.0_sharpness0.67.jpg,3.99510642180081,3.1985842990464852,16
12,1856,8_E_contrast0.94_brightness18.0_sharpness0.67.jpg,3.228177349716606,3.1985842990464852,16
13,1856,8_E_contrast0.94_brightness18.0_sharpness0.67.jpg,3.240348129285131,3.1985842990464852,16
14,1856,8_E_contrast0.94_brightness18.0_sharpness0.67.jpg,3.99510642180081,3.1985842990464852,16
