特徴量,Pearson相関係数,Spearman相関係数,Spearman p値,サンプル数
center_c_local_rms_mean,0.15152964641913128,0.1522194049480457,8.085240538340084e-09,1421
center_c_rms_contrast,0.14710225366235247,0.14176373105752652,8.033799660473785e-08,1421
center_c_glcm_homogeneity,-0.11779465929788718,-0.10696566595658526,5.3396070851666394e-05,1421
center_c_glcm_correlation,-0.11036851574260195,-0.08566030907076873,0.001228561888102439,1421
center_c_glcm_dissimilarity,0.09349822129589397,0.076796843989378,0.003771382865162695,1421
center_c_glcm_contrast,0.07556180875529289,0.03655772527030797,0.16840922894632754,1421
center_c_bandpow_4.00-8.00cpd,0.07218027217164226,0.03365134562283882,0.2048804493359725,1421
center_c_glcm_energy,-0.07064773315305659,-0.04895580064592682,0.06504806870044624,1421
center_c_bandpow_0.50-1.00cpd,-0.05887078447572433,-0.05363866317774559,0.04321279689603895,1421
center_c_bandpow_2.00-4.00cpd,0.05784982183038428,0.017031603126257778,0.5211930344846368,1421
center_c_bandpow_1.00-2.00cpd,-0.039985469976419954,-0.04070571119982977,0.1250950866504283,1421
center_c_bandpow_0.25-0.50cpd,-0.038705195549686315,-0.03369886744020385,0.20424127877879897,1421
