day,time,button,timeFromStart,timeFromDisplay,image,status,times,figure,contrast,gamma,sharpness,brightness,equalization
2023-08-24,13:51:49.757401,f,2.5909645557403564,0.0,2_9_contrast0.97_gamma0.96.jpg,0,2,9,0.97,0.96,0,0,0
2023-08-24,13:51:54.165471,t,6.999034643173218,1.890653610229492,3_0_gamma0.52_contrast1.1_sharpness0.78.jpg,4,3,0,1.1,0.52,0.78,0,0
2023-08-24,13:52:03.866578,f,16.700141668319702,1.5804595947265625,7_8_sharpness0.27_brightness27.0.jpg,4,7,8,0,0,0.27,27.0,0
2023-08-24,13:52:14.225562,f,27.053102731704712,1.954704761505127,11_8_brightness12.0_gamma0.91_contrast1.2.jpg,4,11,8,1.2,0.91,0,12.0,0
2023-08-24,13:52:29.929538,f,42.76257014274597,0.1286768913269043,18_2_gamma0.87_sharpness0.79_equalization29.0.jpg,0,18,2,0,0.87,0.79,0,29.0
2023-08-24,13:52:31.601369,t,44.43493342399597,1.8010401725769043,18_2_gamma0.87_sharpness0.79_equalization29.0.jpg,0,18,2,0,0.87,0.79,0,29.0
2023-08-24,13:52:33.903869,t,46.73639631271362,1.6214900016784668,19_1_contrast1.2_equalization25.0.jpg,4,19,1,1.2,0,0,0,25.0
2023-08-24,13:52:59.283057,t,72.11311173439026,1.9792327880859373,29_8_contrast0.83_sharpness0.65_brightness21.0.jpg,4,29,8,0.83,0,0.65,21.0,0
2023-08-24,13:53:09.169264,f,82.00282835960388,1.86077094078064,33_T_contrast1.1_sharpness0.91_equalization16.0.jpg,4,33,T,1.1,0,0.91,0,16.0
2023-08-24,13:53:41.806028,f,114.6385486125946,2.0170645713806152,46_9_brightness22.0_sharpness0.94_contrast0.92.jpg,4,46,9,0.92,0,0.94,22.0,0
2023-08-25,19:55:10.878497,f,1.6462695598602295,1.551829814910889,1_E_sharpness0.28_contrast0.84_equalization16.0.jpg,2,1,E,0.84,0,0.28,0,16.0
2023-08-25,19:55:15.639296,t,6.407068729400635,1.2470135688781738,3_0_gamma0.52_contrast1.1_sharpness0.78.jpg,4,3,0,1.1,0.52,0.78,0,0
2023-08-25,19:55:26.481227,f,17.24899959564209,2.103447914123535,7_8_sharpness0.27_brightness27.0.jpg,4,7,8,0,0,0.27,27.0,0
2023-08-25,19:55:35.761476,f,26.52924847602844,1.3393263816833496,11_8_brightness12.0_gamma0.91_contrast1.2.jpg,4,11,8,1.2,0.91,0,12.0,0
2023-08-25,19:55:50.679130,f,41.44690251350403,1.201279878616333,17_7_sharpness0.87_equalization23.0.jpg,0,17,7,0,0,0.87,0,23.0
2023-08-25,19:55:53.221300,t,43.98907208442688,1.2334792613983154,18_2_gamma0.87_sharpness0.79_equalization29.0.jpg,0,18,2,0,0.87,0.79,0,29.0
2023-08-25,19:55:55.379131,t,46.1469030380249,0.954272985458374,19_1_contrast1.2_equalization25.0.jpg,4,19,1,1.2,0,0,0,25.0
2023-08-25,19:56:20.612412,t,71.38018488883972,1.1613829135894775,29_8_contrast0.83_sharpness0.65_brightness21.0.jpg,4,29,8,0.83,0,0.65,21.0,0
2023-08-25,19:56:30.655116,f,81.42288875579834,1.1806747913360596,33_T_contrast1.1_sharpness0.91_equalization16.0.jpg,4,33,T,1.1,0,0.91,0,16.0
2023-08-25,19:57:03.204369,f,113.97214198112488,1.2543952465057373,46_9_brightness22.0_sharpness0.94_contrast0.92.jpg,4,46,9,0.92,0,0.94,22.0,0
