trial_id,folder_name,file_name,trial,front,status,back,process,filename,param1,param1_value,param2,param2_value,param3,param3_value,image_name,final_status,Display_Timestamp,Display_Epoch,Elapsed_From_First_Display_s,Frame_60fps,Frame_120fps,Key_Timestamp,Reaction_Time,Front_Char,Back_Char,User_Key,Accuracy,Result_Type,Judgment
S04_3_16,S04,3,16,I,filler,3,model,G:\pictures_verify\transformed_verify\roomBright_figureDark\rain_empty\3_day_rain_empty.jpg,brightness,22.602,contrast,1.158,gamma,1.045,M_3_16_I_filler_3_day_rain_empty_MODEL_brightness22.602_contrast1.158_gamma1.045.jpg,Ignore,2026-01-09T11:20:50.639,1767925250.6396568,57.634989976882935,3458,6916,,,I,3,None,1,Correct Rejection,正解(スルー成功)
S04_3_17,S04,3,17,0,unmatch,2,original,G:\pictures_verify\transformed_verify\roomBright_figureDark\rain_busy\2_day_rain_busy.jpg,,,,,,,M_3_47_0_unmatch_2_day_rain_busy_ORIG.jpg,Mismatch,2026-01-09T11:20:54.486,1767925254.4868538,61.482187032699585,3689,7378,2026-01-09T11:20:56.054,1.5680561065673828,0,2,b,1,Correct Rejection,正解(不一致)
S04_3_18,S04,3,18,G,filler,3,original,G:\pictures_verify\transformed_verify\roomBright_figureDark\sun_empty\3_day_sun_empty.jpg,,,,,,,M_3_2_G_filler_3_day_sun_empty_ORIG.jpg,Ignore,2026-01-09T11:20:58.333,1767925258.333606,65.32893919944763,3920,7839,,,G,3,None,1,Correct Rejection,正解(スルー成功)
S04_3_19,S04,3,19,J,filler,8,model,G:\pictures_verify\transformed_verify\roomBright_figureDark\rain_busy\8_day_rain_busy.jpg,brightness,23.168,contrast,1.169,gamma,1.078,M_3_43_J_filler_8_day_rain_busy_MODEL_brightness23.168_contrast1.169_gamma1.078.jpg,Ignore,2026-01-09T11:21:02.180,1767925262.1807382,69.17607140541077,4151,8301,,,J,8,None,1,Correct Rejection,正解(スルー成功)
S04_3_20,S04,3,20,2,unmatch,8,model,G:\pictures_verify\transformed_verify\roomBright_figureDark\rain_empty\8_day_rain_empty.jpg,brightness,22.602,contrast,1.158,gamma,1.045,M_3_12_2_unmatch_8_day_rain_empty_MODEL_brightness22.602_contrast1.158_gamma1.045.jpg,Mismatch,2026-01-09T11:21:06.019,1767925266.0194407,73.01477384567261,4381,8762,2026-01-09T11:21:07.996,1.9771316051483154,2,8,b,1,Correct Rejection,正解(不一致)
S04_3_21,S04,3,21,S,filler,0,original,G:\pictures_verify\transformed_verify\roomBright_figureDark\rain_empty\0_day_rain_empty.jpg,,,,,,,M_3_15_S_filler_0_day_rain_empty_ORIG.jpg,Ignore,2026-01-09T11:21:09.849,1767925269.8491442,76.84447741508484,4611,9221,,,S,0,None,1,Correct Rejection,正解(スルー成功)
S04_3_22,S04,3,22,C,filler,2,brightonly,G:\pictures_verify\transformed_verify\roomBright_figureDark\sun_busy\2_day_sun_busy.jpg,brightness,45.47,,,,,M_3_6_C_filler_2_day_sun_busy_BRIGHTONLY_brightness45.470.jpg,Ignore,2026-01-09T11:21:13.696,1767925273.6968968,80.6922299861908,4842,9683,,,C,2,None,1,Correct Rejection,正解(スルー成功)
S04_3_23,S04,3,23,D,filler,5,model,G:\pictures_verify\transformed_verify\roomBright_figureDark\rain_empty\5_day_rain_empty.jpg,brightness,22.602,contrast,1.158,gamma,1.045,M_3_29_D_filler_5_day_rain_empty_MODEL_brightness22.602_contrast1.158_gamma1.045.jpg,Ignore,2026-01-09T11:21:17.535,1767925277.5350351,84.53036832809448,5072,10144,,,D,5,None,1,Correct Rejection,正解(スルー成功)
S04_3_24,S04,3,24,U,filler,9,brightonly,G:\pictures_verify\transformed_verify\roomBright_figureDark\sun_busy\9_day_sun_busy.jpg,brightness,45.47,,,,,M_3_23_U_filler_9_day_sun_busy_BRIGHTONLY_brightness45.470.jpg,Ignore,2026-01-09T11:21:21.365,1767925281.365606,88.36093926429749,5302,10603,,,U,9,None,1,Correct Rejection,正解(スルー成功)
S04_3_25,S04,3,25,5,unmatch,3,original,G:\pictures_verify\transformed_verify\roomBright_figureDark\rain_empty\3_day_rain_empty.jpg,,,,,,,M_3_27_5_unmatch_3_day_rain_empty_ORIG.jpg,Mismatch,2026-01-09T11:21:25.211,1767925285.2116063,92.20693945884705,5532,11065,2026-01-09T11:21:26.681,1.4695775508880615,5,3,b,1,Correct Rejection,正解(不一致)
S04_3_26,S04,3,26,S,filler,3,brightonly,G:\pictures_verify\transformed_verify\roomBright_figureDark\rain_busy\3_day_rain_busy.jpg,brightness,36.09,,,,,M_3_8_S_filler_3_day_rain_busy_BRIGHTONLY_brightness36.090.jpg,Ignore,2026-01-09T11:21:29.060,1767925289.0600758,96.05540895462036,5763,11527,,,S,3,None,1,Correct Rejection,正解(スルー成功)
S04_3_27,S04,3,27,F,filler,6,original,G:\pictures_verify\transformed_verify\roomBright_figureDark\rain_busy\6_day_rain_busy.jpg,,,,,,,M_3_11_F_filler_6_day_rain_busy_ORIG.jpg,Ignore,2026-01-09T11:21:32.930,1767925292.9303179,99.92565107345581,5996,11991,,,F,6,None,1,Correct Rejection,正解(スルー成功)
S04_3_28,S04,3,28,6,match,6,model,G:\pictures_verify\transformed_verify\roomBright_figureDark\rain_empty\6_day_rain_empty.jpg,brightness,22.602,contrast,1.158,gamma,1.045,M_3_22_6_match_6_day_rain_empty_MODEL_brightness22.602_contrast1.158_gamma1.045.jpg,Match,2026-01-09T11:21:36.781,1767925296.7816904,103.77702355384827,6227,12453,2026-01-09T11:21:38.428,1.6466834545135498,6,6,t,1,Hit,正解(一致)
S04_3_29,S04,3,29,C,filler,7,original,G:\pictures_verify\transformed_verify\roomBright_figureDark\sun_empty\7_day_sun_empty.jpg,,,,,,,M_3_45_C_filler_7_day_sun_empty_ORIG.jpg,Ignore,2026-01-09T11:21:40.621,1767925300.6211405,107.61647367477417,6457,12914,,,C,7,None,1,Correct Rejection,正解(スルー成功)
S04_3_30,S04,3,30,4,match,4,model,G:\pictures_verify\transformed_verify\roomBright_figureDark\rain_empty\4_day_rain_empty.jpg,brightness,22.602,contrast,1.158,gamma,1.045,M_3_1_4_match_4_day_rain_empty_MODEL_brightness22.602_contrast1.158_gamma1.045.jpg,Match,2026-01-09T11:21:44.473,1767925304.4739153,111.4692485332489,6688,13376,2026-01-09T11:21:45.913,1.4392249584197998,4,4,t,1,Hit,正解(一致)
S04_3_31,S04,3,31,E,filler,8,brightonly,G:\pictures_verify\transformed_verify\roomBright_figureDark\sun_empty\8_day_sun_empty.jpg,brightness,40.55,,,,,M_3_37_E_filler_8_day_sun_empty_BRIGHTONLY_brightness40.550.jpg,Ignore,2026-01-09T11:21:48.340,1767925308.3400097,115.33534288406372,6920,13840,,,E,8,None,1,Correct Rejection,正解(スルー成功)
S04_3_32,S04,3,32,C,filler,6,model,G:\pictures_verify\transformed_verify\roomBright_figureDark\sun_busy\6_day_sun_busy.jpg,brightness,25.454,contrast,1.16,gamma,1.064,M_3_40_C_filler_6_day_sun_busy_MODEL_brightness25.454_contrast1.160_gamma1.064.jpg,Ignore,2026-01-09T11:21:52.187,1767925312.1870105,119.18234372138977,7151,14302,,,C,6,None,1,Correct Rejection,正解(スルー成功)
S04_3_33,S04,3,33,9,match,9,brightonly,G:\pictures_verify\transformed_verify\roomBright_figureDark\sun_busy\9_day_sun_busy.jpg,brightness,45.47,,,,,M_3_3_9_match_9_day_sun_busy_BRIGHTONLY_brightness45.470.jpg,Match,2026-01-09T11:21:56.036,1767925316.036101,123.03143429756165,7382,14764,2026-01-09T11:21:57.515,1.479126214981079,9,9,t,1,Hit,正解(一致)
S04_3_34,S04,3,34,B,filler,5,brightonly,G:\pictures_verify\transformed_verify\roomBright_figureDark\rain_empty\5_day_rain_empty.jpg,brightness,35.62,,,,,M_3_10_B_filler_5_day_rain_empty_BRIGHTONLY_brightness35.620.jpg,Ignore,2026-01-09T11:21:59.874,1767925319.8743806,126.86971378326416,7612,15224,,,B,5,None,1,Correct Rejection,正解(スルー成功)
S04_3_35,S04,3,35,J,filler,3,original,G:\pictures_verify\transformed_verify\roomBright_figureDark\sun_empty\3_day_sun_empty.jpg,,,,,,,M_3_28_J_filler_3_day_sun_empty_ORIG.jpg,Ignore,2026-01-09T11:22:03.719,1767925323.7195027,130.7148358821869,7843,15686,,,J,3,None,1,Correct Rejection,正解(スルー成功)
S04_3_36,S04,3,36,Q,filler,2,original,G:\pictures_verify\transformed_verify\roomBright_figureDark\rain_empty\2_day_rain_empty.jpg,,,,,,,M_3_18_Q_filler_2_day_rain_empty_ORIG.jpg,Ignore,2026-01-09T11:22:07.565,1767925327.5651486,134.5604817867279,8074,16147,,,Q,2,None,1,Correct Rejection,正解(スルー成功)
S04_3_37,S04,3,37,4,unmatch,0,model,G:\pictures_verify\transformed_verify\roomBright_figureDark\sun_empty\0_day_sun_empty.jpg,brightness,18.052,contrast,1.163,gamma,1.019,M_3_7_4_unmatch_0_day_sun_empty_MODEL_brightness18.052_contrast1.163_gamma1.019.jpg,Mismatch,2026-01-09T11:22:11.413,1767925331.4133782,138.40871143341064,8305,16609,2026-01-09T11:22:13.144,1.730909824371338,4,0,b,1,Correct Rejection,正解(不一致)
S04_3_38,S04,3,38,D,filler,6,model,G:\pictures_verify\transformed_verify\roomBright_figureDark\sun_busy\6_day_sun_busy.jpg,brightness,25.454,contrast,1.16,gamma,1.064,M_3_46_D_filler_6_day_sun_busy_MODEL_brightness25.454_contrast1.160_gamma1.064.jpg,Ignore,2026-01-09T11:22:15.268,1767925335.268296,142.26362919807434,8536,17072,,,D,6,None,1,Correct Rejection,正解(スルー成功)
S04_3_39,S04,3,39,5,unmatch,6,original,G:\pictures_verify\transformed_verify\roomBright_figureDark\rain_busy\6_day_rain_busy.jpg,,,,,,,M_3_42_5_unmatch_6_day_rain_busy_ORIG.jpg,Mismatch,2026-01-09T11:22:19.113,1767925339.113656,146.108989238739,8767,17533,2026-01-09T11:22:20.717,1.6037437915802002,5,6,b,1,Correct Rejection,正解(不一致)
S04_3_40,S04,3,40,P,filler,9,brightonly,G:\pictures_verify\transformed_verify\roomBright_figureDark\sun_busy\9_day_sun_busy.jpg,brightness,45.47,,,,,M_3_33_P_filler_9_day_sun_busy_BRIGHTONLY_brightness45.470.jpg,Ignore,2026-01-09T11:22:22.960,1767925342.9601912,149.95552444458008,8997,17995,,,P,9,None,1,Correct Rejection,正解(スルー成功)
S04_3_41,S04,3,41,C,filler,2,original,G:\pictures_verify\transformed_verify\roomBright_figureDark\rain_empty\2_day_rain_empty.jpg,,,,,,,M_3_4_C_filler_2_day_rain_empty_ORIG.jpg,Ignore,2026-01-09T11:22:26.805,1767925346.805504,153.8008372783661,9228,18456,,,C,2,None,1,Correct Rejection,正解(スルー成功)
S04_3_42,S04,3,42,7,match,7,model,G:\pictures_verify\transformed_verify\roomBright_figureDark\rain_busy\7_day_rain_busy.jpg,brightness,23.168,contrast,1.169,gamma,1.078,M_3_34_7_match_7_day_rain_busy_MODEL_brightness23.168_contrast1.169_gamma1.078.jpg,Match,2026-01-09T11:22:30.646,1767925350.6469588,157.64229202270508,9459,18917,2026-01-09T11:22:32.445,1.7988440990447998,7,7,t,1,Hit,正解(一致)
S04_3_43,S04,3,43,R,filler,2,brightonly,G:\pictures_verify\transformed_verify\roomBright_figureDark\sun_busy\2_day_sun_busy.jpg,brightness,45.47,,,,,M_3_26_R_filler_2_day_sun_busy_BRIGHTONLY_brightness45.470.jpg,Ignore,2026-01-09T11:22:34.494,1767925354.4941587,161.48949193954468,9689,19379,,,R,2,None,1,Correct Rejection,正解(スルー成功)
S04_3_44,S04,3,44,B,filler,1,original,G:\pictures_verify\transformed_verify\roomBright_figureDark\rain_busy\1_day_rain_busy.jpg,,,,,,,M_3_14_B_filler_1_day_rain_busy_ORIG.jpg,Ignore,2026-01-09T11:22:38.339,1767925358.3395545,165.33488774299622,9920,19840,,,B,1,None,1,Correct Rejection,正解(スルー成功)
S04_3_45,S04,3,45,R,filler,7,model,G:\pictures_verify\transformed_verify\roomBright_figureDark\rain_busy\7_day_rain_busy.jpg,brightness,23.168,contrast,1.169,gamma,1.078,M_3_48_R_filler_7_day_rain_busy_MODEL_brightness23.168_contrast1.169_gamma1.078.jpg,Ignore,2026-01-09T11:22:42.185,1767925362.1857224,169.18105554580688,10151,20302,,,R,7,None,1,Correct Rejection,正解(スルー成功)
S04_3_46,S04,3,46,E,filler,6,original,G:\pictures_verify\transformed_verify\roomBright_figureDark\sun_empty\6_day_sun_empty.jpg,,,,,,,M_3_19_E_filler_6_day_sun_empty_ORIG.jpg,Ignore,2026-01-09T11:22:46.025,1767925366.025902,173.02123522758484,10381,20763,,,E,6,None,1,Correct Rejection,正解(スルー成功)
S04_3_47,S04,3,47,6,unmatch,5,brightonly,G:\pictures_verify\transformed_verify\roomBright_figureDark\sun_empty\5_day_sun_empty.jpg,brightness,40.55,,,,,M_3_24_6_unmatch_5_day_sun_empty_BRIGHTONLY_brightness40.550.jpg,Mismatch,2026-01-09T11:22:49.871,1767925369.871996,176.867329120636,10612,21224,2026-01-09T11:22:51.444,1.5722417831420898,6,5,b,1,Correct Rejection,正解(不一致)
S04_3_48,S04,3,48,A,filler,3,model,G:\pictures_verify\transformed_verify\roomBright_figureDark\rain_busy\3_day_rain_busy.jpg,brightness,23.168,contrast,1.169,gamma,1.078,M_3_30_A_filler_3_day_rain_busy_MODEL_brightness23.168_contrast1.169_gamma1.078.jpg,Ignore,2026-01-09T11:22:53.720,1767925373.7207222,180.716055393219,10843,21686,,,A,3,None,1,Correct Rejection,正解(スルー成功)
