,image_name
590,26_2_contrast0.972_gamma0.747_sharpness0.81.jpg
937,10_S_contrast0.966_gamma0.726_sharpness0.769.jpg
1112,38_9_contrast1.058_gamma0.748_sharpness0.983.jpg
