frame,フレーム数,diopter,Unnamed: 0,filename,param1,param1_value,param2,param2_value,param3,param3_value,status,image_name,times,figure,contrast,gamma,sharpness,brightness,equalization
2400,2599,7.818196215574985,7,pictures\transformed\roomBright_figureDark\S.JPG,sharpness,0.6835544960748711,equalization,21.86748111133943,None,None,1,8_S_sharpness0.68_equalization22.0.jpg,8,S,0.0,0.0,0.68,0.0,22.0
2700,2887,6.823052869324298,8,pictures\transformed\roomBright_figureDark\7.JPG,contrast,1.14925831931234,equalization,21.31843964675693,None,None,0,9_7_contrast1.1_equalization21.0.jpg,9,7,1.1,0.0,0.0,0.0,21.0
3600,3829,7.492357207034131,11,pictures\transformed\roomBright_figureDark\P.JPG,contrast,0.940046293502496,gamma,0.7898953153317456,None,None,2,12_P_contrast0.94_gamma0.79.jpg,12,P,0.94,0.79,0.0,0.0,0.0
4200,4376,7.0275358832600165,13,pictures\transformed\roomBright_figureDark\0.JPG,gamma,0.6504110843843228,contrast,1.020212569022411,equalization,24.54467276231376,0,14_0_gamma0.65_contrast1.0_equalization25.0.jpg,14,0,1.0,0.65,0.0,0.0,25.0
